ensembl_id,gene_age,gene_Interval
ENSG00000131188,645,615-676
ENSG00000161055,244,177-312
ENSG00000280094,3,0-7
ENSG00000171501,18,16-20
ENSG00000239590,18,16-20
ENSG00000165202,18,16-20
ENSG00000148215,12,9-16
ENSG00000166368,18,16-20
ENSG00000170782,25,20-29
ENSG00000178586,382,352-413
ENSG00000182083,382,352-413
ENSG00000149634,382,352-413
ENSG00000228278,332,312-352
ENSG00000165188,544,473-615
ENSG00000188710,544,473-615
ENSG00000283526,55,43-67
ENSG00000085265,454,435-473
ENSG00000171102,3,0-7
ENSG00000122136,244,177-312
ENSG00000197768,244,177-312
ENSG00000124089,680,676-684
ENSG00000124208,3,0-7
ENSG00000164924,382,352-413
ENSG00000284512,18,16-20
ENSG00000260643,18,16-20
ENSG00000140905,382,352-413
ENSG00000279486,12,9-16
ENSG00000188124,36,29-43
ENSG00000189292,36,29-43
ENSG00000283586,3,0-7
ENSG00000171864,3,0-7
ENSG00000171867,3,0-7
ENSG00000178726,3,0-7
ENSG00000132671,645,615-676
ENSG00000183024,18,16-20
ENSG00000171505,78,74-82
ENSG00000131152,8,7-9
ENSG00000258947,544,473-615
ENSG00000261701,382,352-413
ENSG00000257017,382,352-413
ENSG00000188396,950,948-952
ENSG00000162645,18,16-20
ENSG00000204388,332,312-352
ENSG00000204389,332,312-352
ENSG00000117501,244,177-312
ENSG00000007933,382,352-413
ENSG00000173627,382,352-413
ENSG00000079385,168,159-177
ENSG00000086548,168,159-177
ENSG00000170956,544,473-615
ENSG00000105388,168,159-177
ENSG00000249730,18,16-20
ENSG00000197403,454,435-473
ENSG00000180433,25,20-29
ENSG00000196171,18,16-20
ENSG00000198967,382,352-413
ENSG00000279111,3,0-7
ENSG00000173285,382,352-413
ENSG00000180708,25,20-29
ENSG00000186306,18,16-20
ENSG00000255713,3,0-7
ENSG00000141200,18,16-20
ENSG00000169469,168,159-177
ENSG00000169474,168,159-177
ENSG00000198090,12,9-16
ENSG00000213416,168,159-177
ENSG00000215454,244,177-312
ENSG00000243489,244,177-312
ENSG00000212900,244,177-312
ENSG00000188694,18,16-20
ENSG00000212899,244,177-312
ENSG00000273604,12,9-16
ENSG00000185294,18,16-20
ENSG00000263429,18,16-20
ENSG00000177151,168,159-177
ENSG00000196240,168,159-177
ENSG00000175143,25,20-29
ENSG00000187701,168,159-177
ENSG00000238243,8,7-9
ENSG00000197591,12,9-16
ENSG00000177535,12,9-16
ENSG00000196242,332,312-352
ENSG00000284824,332,312-352
ENSG00000275221,382,352-413
ENSG00000179859,93,90-96
ENSG00000161960,332,312-352
ENSG00000248871,18,16-20
ENSG00000262165,18,16-20
ENSG00000185245,382,352-413
ENSG00000128564,382,352-413
ENSG00000160813,382,352-413
ENSG00000177462,18,16-20
ENSG00000177201,18,16-20
ENSG00000177212,18,16-20
ENSG00000182613,168,159-177
ENSG00000282988,3,0-7
ENSG00000174339,8,7-9
ENSG00000186496,168,159-177
ENSG00000204704,168,159-177
ENSG00000112462,12,9-16
ENSG00000138316,645,615-676
ENSG00000166220,645,615-676
ENSG00000186867,454,435-473
ENSG00000148606,645,615-676
ENSG00000108175,1488,1480-1496
ENSG00000108179,645,615-676
ENSG00000143412,987,952-1023
ENSG00000109511,987,952-1023
ENSG00000264230,987,952-1023
ENSG00000265190,987,952-1023
ENSG00000156671,950,948-952
ENSG00000079393,454,435-473
ENSG00000156650,680,676-684
ENSG00000156110,>4290,>4290
ENSG00000035403,987,952-1023
ENSG00000131094,680,676-684
ENSG00000172992,>4290,>4290
ENSG00000110060,>4290,>4290
ENSG00000068120,987,952-1023
ENSG00000023041,1488,1480-1496
ENSG00000151532,1292,1105-1480
ENSG00000148737,645,615-676
ENSG00000059573,645,615-676
ENSG00000141744,645,615-676
ENSG00000131771,544,473-615
ENSG00000171532,810,797-824
ENSG00000125686,810,797-824
ENSG00000141750,645,615-676
ENSG00000108298,645,615-676
ENSG00000119927,886,824-948
ENSG00000273749,1064,1023-1105
ENSG00000140157,1292,1105-1480
ENSG00000170113,987,952-1023
ENSG00000128731,1488,1480-1496
ENSG00000104044,645,615-676
ENSG00000186297,645,615-676
ENSG00000166206,645,615-676
ENSG00000206190,645,615-676
ENSG00000114062,1488,1480-1496
ENSG00000144191,886,824-948
ENSG00000075568,987,952-1023
ENSG00000270181,645,615-676
ENSG00000134899,3,0-7
ENSG00000134897,645,615-676
ENSG00000143156,1064,1023-1105
ENSG00000143153,950,948-952
ENSG00000143196,950,948-952
ENSG00000066422,645,615-676
ENSG00000073282,987,952-1023
ENSG00000188001,645,615-676
ENSG00000145012,645,615-676
ENSG00000113916,987,952-1023
ENSG00000204392,987,952-1023
ENSG00000168918,680,676-684
ENSG00000144230,544,473-615
ENSG00000169994,645,615-676
ENSG00000136715,645,615-676
ENSG00000182923,645,615-676
ENSG00000174640,680,676-684
ENSG00000163785,987,952-1023
ENSG00000162804,544,473-615
ENSG00000226321,810,797-824
ENSG00000126001,810,797-824
ENSG00000168427,645,615-676
ENSG00000144488,645,615-676
ENSG00000132330,987,952-1023
ENSG00000168393,>4290,>4290
ENSG00000168397,1714,1660-1768
ENSG00000006607,1488,1480-1496
ENSG00000115677,1292,1105-1480
ENSG00000168875,1714,1660-1768
ENSG00000066405,454,435-473
ENSG00000153936,680,676-684
ENSG00000267561,680,676-684
ENSG00000143013,680,676-684
ENSG00000137944,>4290,>4290
ENSG00000171488,544,473-615
ENSG00000171492,645,615-676
ENSG00000143032,645,615-676
ENSG00000122482,544,473-615
ENSG00000069702,645,615-676
ENSG00000172031,>4290,>4290
ENSG00000203910,>4290,>4290
ENSG00000174842,>4290,>4290
ENSG00000162676,810,797-824
ENSG00000067208,>4290,>4290
ENSG00000122406,>4290,>4290
ENSG00000154511,680,676-684
ENSG00000122483,680,676-684
ENSG00000080511,>4290,>4290
ENSG00000117505,1488,1480-1496
ENSG00000172380,645,615-676
ENSG00000116717,645,615-676
ENSG00000120341,544,473-615
ENSG00000179930,78,74-82
ENSG00000159479,78,74-82
ENSG00000143149,>4290,>4290
ENSG00000143183,>4290,>4290
ENSG00000143179,1488,1480-1496
ENSG00000275700,1488,1480-1496
ENSG00000280789,1488,1480-1496
ENSG00000079616,454,435-473
ENSG00000167371,454,435-473
ENSG00000280893,18,16-20
ENSG00000149927,454,435-473
ENSG00000144843,645,615-676
ENSG00000168488,454,435-473
ENSG00000135297,454,435-473
ENSG00000119977,680,676-684
ENSG00000155657,680,676-684
ENSG00000214814,987,952-1023
ENSG00000135912,987,952-1023
ENSG00000110786,544,473-615
ENSG00000184545,645,615-676
ENSG00000182208,1292,1105-1480
ENSG00000187486,544,473-615
ENSG00000006071,680,676-684
ENSG00000006611,680,676-684
ENSG00000120647,680,676-684
ENSG00000069998,>4290,>4290
ENSG00000146955,544,473-615
ENSG00000188991,645,615-676
ENSG00000186889,886,824-948
ENSG00000165923,454,435-473
ENSG00000109920,680,676-684
ENSG00000111596,>4290,>4290
ENSG00000136051,>4290,>4290
ENSG00000102901,>4290,>4290
ENSG00000136463,>4290,>4290
ENSG00000055118,987,952-1023
ENSG00000141736,645,615-676
ENSG00000161395,645,615-676
ENSG00000127564,645,615-676
ENSG00000140682,454,435-473
ENSG00000229474,1488,1480-1496
ENSG00000152684,1488,1480-1496
ENSG00000198075,680,676-684
ENSG00000180979,987,952-1023
ENSG00000285942,987,952-1023
ENSG00000100883,>4290,>4290
ENSG00000100934,>4290,>4290
ENSG00000092445,544,473-615
ENSG00000174197,987,952-1023
ENSG00000126775,987,952-1023
ENSG00000182521,544,473-615
ENSG00000243789,1714,1660-1768
ENSG00000178974,680,676-684
ENSG00000165617,645,615-676
ENSG00000119669,680,676-684
ENSG00000139324,886,824-948
ENSG00000198707,886,824-948
ENSG00000133641,886,824-948
ENSG00000169900,36,29-43
ENSG00000196954,886,824-948
ENSG00000137757,886,824-948
ENSG00000255501,55,43-67
ENSG00000137752,886,824-948
ENSG00000255221,886,824-948
ENSG00000204397,886,824-948
ENSG00000117598,987,952-1023
ENSG00000162627,1064,1023-1105
ENSG00000164024,645,615-676
ENSG00000147894,645,615-676
ENSG00000138688,645,615-676
ENSG00000172554,950,948-952
ENSG00000115705,987,952-1023
ENSG00000100266,1064,1023-1105
ENSG00000242247,1488,1480-1496
ENSG00000166130,1488,1480-1496
ENSG00000136026,>4290,>4290
ENSG00000111647,1488,1480-1496
ENSG00000185046,645,615-676
ENSG00000175928,645,615-676
ENSG00000072756,645,615-676
ENSG00000173281,987,952-1023
ENSG00000164187,987,952-1023
ENSG00000167306,645,615-676
ENSG00000266997,645,615-676
ENSG00000152611,987,952-1023
ENSG00000164172,1488,1480-1496
ENSG00000148154,1488,1480-1496
ENSG00000119314,1064,1023-1105
ENSG00000119471,1064,1023-1105
ENSG00000058091,645,615-676
ENSG00000157240,18,16-20
ENSG00000160256,18,16-20
ENSG00000002586,78,74-82
ENSG00000101825,645,615-676
ENSG00000183943,>4290,>4290
ENSG00000099725,8,7-9
ENSG00000074201,8,7-9
ENSG00000149269,1488,1480-1496
ENSG00000187024,1488,1480-1496
ENSG00000160404,950,948-952
ENSG00000089041,454,435-473
ENSG00000172901,950,948-952
ENSG00000250021,645,615-676
ENSG00000242498,645,615-676
ENSG00000283597,645,615-676
ENSG00000166816,1064,1023-1105
ENSG00000267318,3,0-7
ENSG00000259120,3,0-7
ENSG00000284526,3,0-7
ENSG00000177257,55,43-67
ENSG00000171711,55,43-67
ENSG00000196166,55,43-67
ENSG00000211689,18,16-20
ENSG00000211696,3,0-7
ENSG00000211697,25,20-29
ENSG00000211698,3,0-7
ENSG00000211701,8,7-9
ENSG00000211693,3,0-7
ENSG00000211699,25,20-29
ENSG00000272647,25,20-29
ENSG00000285437,8,7-9
ENSG00000228049,8,7-9
ENSG00000267645,8,7-9
ENSG00000127366,18,16-20
ENSG00000267697,18,16-20
ENSG00000212127,36,29-43
ENSG00000237702,55,43-67
ENSG00000275743,3,0-7
ENSG00000277880,25,20-29
ENSG00000270672,8,7-9
ENSG00000277322,36,29-43
ENSG00000197978,18,16-20
ENSG00000184206,18,16-20
ENSG00000273976,36,29-43
ENSG00000174450,12,9-16
ENSG00000277865,36,29-43
ENSG00000137875,36,29-43
ENSG00000225973,36,29-43
ENSG00000278662,18,16-20
ENSG00000230657,25,20-29
ENSG00000257062,3,0-7
ENSG00000284730,3,0-7
ENSG00000283536,3,0-7
ENSG00000172551,3,0-7
ENSG00000285133,3,0-7
ENSG00000160072,18,16-20
ENSG00000284895,18,16-20
ENSG00000283324,18,16-20
ENSG00000159450,18,16-20
ENSG00000172155,78,74-82
ENSG00000186226,8,7-9
ENSG00000240386,78,74-82
ENSG00000187238,12,9-16
ENSG00000203783,132,105-159
ENSG00000197084,78,74-82
ENSG00000196734,78,74-82
ENSG00000235942,78,74-82
ENSG00000283227,78,74-82
ENSG00000241794,78,74-82
ENSG00000196805,8,7-9
ENSG00000244094,8,7-9
ENSG00000125462,8,7-9
ENSG00000256029,8,7-9
ENSG00000262180,8,7-9
ENSG00000281406,8,7-9
ENSG00000213029,8,7-9
ENSG00000270188,8,7-9
ENSG00000284188,8,7-9
ENSG00000284395,8,7-9
ENSG00000261732,3,0-7
ENSG00000008517,3,0-7
ENSG00000175646,3,0-7
ENSG00000281348,3,0-7
ENSG00000278848,18,16-20
ENSG00000277639,18,16-20
ENSG00000186493,18,16-20
ENSG00000251380,18,16-20
ENSG00000204970,8,7-9
ENSG00000248383,3,0-7
ENSG00000253159,3,0-7
ENSG00000239389,3,0-7
ENSG00000272674,8,7-9
ENSG00000261934,3,0-7
ENSG00000185056,3,0-7
ENSG00000182230,12,9-16
ENSG00000170074,12,9-16
ENSG00000285476,12,9-16
ENSG00000285891,12,9-16
ENSG00000186451,12,9-16
ENSG00000255423,25,20-29
ENSG00000269028,8,7-9
ENSG00000260234,8,7-9
ENSG00000285938,8,7-9
ENSG00000119227,8,7-9
ENSG00000184032,8,7-9
ENSG00000285082,8,7-9
ENSG00000278384,8,7-9
ENSG00000214413,8,7-9
ENSG00000270394,8,7-9
ENSG00000254997,8,7-9
ENSG00000196224,8,7-9
ENSG00000284631,8,7-9
ENSG00000142396,8,7-9
ENSG00000270617,8,7-9
ENSG00000255393,8,7-9
ENSG00000204571,8,7-9
ENSG00000132819,>4290,>4290
ENSG00000171148,>4290,>4290
ENSG00000241553,>4290,>4290
ENSG00000114738,645,615-676
ENSG00000114841,987,952-1023
ENSG00000163528,987,952-1023
ENSG00000065665,>4290,>4290
ENSG00000058262,645,615-676
ENSG00000068745,1714,1660-1768
ENSG00000187288,454,435-473
ENSG00000010256,1488,1480-1496
ENSG00000250151,987,952-1023
ENSG00000214021,987,952-1023
ENSG00000183624,987,952-1023
ENSG00000075785,1488,1480-1496
ENSG00000163902,1488,1480-1496
ENSG00000179348,680,676-684
ENSG00000255150,3,0-7
ENSG00000138162,645,615-676
ENSG00000162267,1488,1480-1496
ENSG00000107731,886,824-948
ENSG00000198246,645,615-676
ENSG00000197746,544,473-615
ENSG00000243927,544,473-615
ENSG00000107745,1064,1023-1105
ENSG00000156026,1488,1480-1496
ENSG00000138315,645,615-676
ENSG00000138308,645,615-676
ENSG00000112541,950,948-952
ENSG00000164458,950,948-952
ENSG00000176381,78,74-82
ENSG00000198818,1714,1660-1768
ENSG00000279956,987,952-1023
ENSG00000138039,987,952-1023
ENSG00000153208,645,615-676
ENSG00000153214,1488,1480-1496
ENSG00000144152,1064,1023-1105
ENSG00000188177,645,615-676
ENSG00000144668,987,952-1023
ENSG00000144674,987,952-1023
ENSG00000184261,950,948-952
ENSG00000116062,1714,1660-1768
ENSG00000170802,544,473-615
ENSG00000162869,544,473-615
ENSG00000243244,544,473-615
ENSG00000068781,544,473-615
ENSG00000179915,645,615-676
ENSG00000068912,1064,1023-1105
ENSG00000119737,454,435-473
ENSG00000068878,454,435-473
ENSG00000285733,3,0-7
ENSG00000184465,>4290,>4290
ENSG00000186340,680,676-684
ENSG00000026652,987,952-1023
ENSG00000135750,886,824-948
ENSG00000183780,645,615-676
ENSG00000059588,>4290,>4290
ENSG00000153303,>4290,>4290
ENSG00000082269,>4290,>4290
ENSG00000112280,645,615-676
ENSG00000168216,645,615-676
ENSG00000135298,645,615-676
ENSG00000118482,645,615-676
ENSG00000112232,645,615-676
ENSG00000146143,645,615-676
ENSG00000112210,1714,1660-1768
ENSG00000112208,1714,1660-1768
ENSG00000151914,645,615-676
ENSG00000124749,382,352-413
ENSG00000112175,544,473-615
ENSG00000146151,1488,1480-1496
ENSG00000187871,544,473-615
ENSG00000137252,680,676-684
ENSG00000168143,645,615-676
ENSG00000146147,645,615-676
ENSG00000137269,680,676-684
ENSG00000124743,645,615-676
ENSG00000001084,645,615-676
ENSG00000012660,1714,1660-1768
ENSG00000112146,1714,1660-1768
ENSG00000112144,>4290,>4290
ENSG00000096092,645,615-676
ENSG00000129317,987,952-1023
ENSG00000139174,544,473-615
ENSG00000134283,544,473-615
ENSG00000139168,987,952-1023
ENSG00000015153,950,948-952
ENSG00000151233,810,797-824
ENSG00000165966,810,797-824
ENSG00000018236,645,615-676
ENSG00000091129,645,615-676
ENSG00000186471,645,615-676
ENSG00000128590,680,676-684
ENSG00000085662,>4290,>4290
ENSG00000165568,>4290,>4290
ENSG00000105967,987,952-1023
ENSG00000135272,645,615-676
ENSG00000128573,645,615-676
ENSG00000154415,987,952-1023
ENSG00000164604,645,615-676
ENSG00000142798,987,952-1023
ENSG00000274386,544,473-615
ENSG00000081019,987,952-1023
ENSG00000174502,544,473-615
ENSG00000079337,544,473-615
ENSG00000161638,987,952-1023
ENSG00000110925,886,824-948
ENSG00000135457,987,952-1023
ENSG00000184271,950,948-952
ENSG00000183283,950,948-952
ENSG00000110934,1488,1480-1496
ENSG00000062485,1488,1480-1496
ENSG00000135469,645,615-676
ENSG00000139645,987,952-1023
ENSG00000181852,645,615-676
ENSG00000065357,987,952-1023
ENSG00000161835,645,615-676
ENSG00000123358,810,797-824
ENSG00000124196,987,952-1023
ENSG00000050426,1714,1660-1768
ENSG00000135404,1488,1480-1496
ENSG00000166881,987,952-1023
