,TF,Target,Mode,PMID,TF_age,Tg_age
0,AATF,BAX,Repression,22909821,Eukaryota,Eumetazoa
1,AATF,CDKN1A,Unknown,17157788,Eukaryota,Eumetazoa
2,AATF,KLK3,Unknown,23146908,Eukaryota,Mammalia
3,AATF,MYC,Activation,20549547,Eukaryota,Eumetazoa
4,AATF,TP53,Unknown,17157788,Eukaryota,Opisthokonta
5,ABL1,BAX,Activation,11753601,Opisthokonta,Eumetazoa
6,ABL1,BCL2,Repression,11753601,Opisthokonta,Opisthokonta
7,ABL1,BCL6,Repression,15509806,Opisthokonta,Vertebrata
8,ABL1,CCND2,Activation,15509806,Opisthokonta,Eumetazoa
9,ABL1,CDKN1A,Activation,11753601;9916993,Opisthokonta,Eumetazoa
10,ABL1,CSF1,Activation,23418320,Opisthokonta,Vertebrata
11,ABL1,CSF1,Unknown,18619508,Opisthokonta,Vertebrata
12,ABL1,FOXO3,Activation,15509806,Opisthokonta,Vertebrata
13,ABL1,JUN,Activation,15145216,Opisthokonta,Eumetazoa
14,ABL1,JUN,Repression,19357699,Opisthokonta,Eumetazoa
15,ABL1,PIM1,Activation,15145216,Opisthokonta,Eukaryota
16,ABL1,TP53,Activation,11753601,Opisthokonta,Opisthokonta
17,AES,EPHA3,Unknown,20676368,,Opisthokonta
18,AES,LEF1,Activation,20676368,,Eumetazoa
19,AES,RND3,Activation,23546594,,Eukaryota
20,AHR,ABCG2,Unknown,20460431,Eumetazoa,Euk+Bac
21,AHR,AHRR,Activation,18848529,Eumetazoa,Eumetazoa
22,AHR,ARNT,Unknown,19255421;8631989,Eumetazoa,Eumetazoa
23,AHR,BRCA1,Unknown,18259752,Eumetazoa,Eumetazoa
24,AHR,CA9,Repression,19154183,Eumetazoa,Euk+Bac
25,AHR,CCND1,Unknown,24380854,Eumetazoa,Eukaryota
26,AHR,CCNG2,Activation,22596188,Eumetazoa,Eukaryota
27,AHR,CYP1A1,Activation,12213390;9865727,Eumetazoa,Euk+Bac
28,AHR,CYP1A1,Repression,17012224,Eumetazoa,Euk+Bac
29,AHR,CYP1A1,Unknown,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073,Eumetazoa,Euk+Bac
30,AHR,CYP1A2,Unknown,21357676,Eumetazoa,Euk+Bac
31,AHR,CYP1B1,Activation,16115918;19287966,Eumetazoa,Eukaryota
32,AHR,CYP1B1,Unknown,12376470;19376845;21742528;24299737,Eumetazoa,Eukaryota
33,AHR,CYP2B6,Unknown,19928584,Eumetazoa,Eukaryota
34,AHR,FOS,Unknown,10478842,Eumetazoa,Eumetazoa
35,AHR,IL13,Unknown,22981205,Eumetazoa,Mammalia
36,AHR,IL1B,Unknown,23349129,Eumetazoa,Vertebrata
37,AHR,IL6,Activation,20511231,Eumetazoa,Vertebrata
38,AHR,IL6,Unknown,18483242;23349129,Eumetazoa,Vertebrata
39,AHR,MFSD2A,Unknown,21736709,Eumetazoa,Euk+Bac
40,AHR,MT2A,Unknown,23994556,Eumetazoa,Mammalia
41,AHR,MYC,Unknown,11114727;16091746,Eumetazoa,Eumetazoa
42,AHR,PCNA,Activation,12417031,Eumetazoa,Euk_Archaea
43,AHR,RFC3,Activation,12417031,Eumetazoa,Eukaryota
44,AHR,UGT1A1,Activation,18172616,Eumetazoa,Euk+Bac
45,AHR,UGT1A6,Unknown,9466822,Eumetazoa,Euk+Bac
46,AIP,AHR,Activation,11469723,Eukaryota,Eumetazoa
47,AIP,GREB1,Repression,21984905,Eukaryota,Eumetazoa
48,AIP,NFKB2,Repression,21984905,Eukaryota,Opisthokonta
49,AIP,RSF1,Repression,21984905,Eukaryota,Eumetazoa
50,AIP,TFF1,Repression,21984905,Eukaryota,Mammalia
51,AIRE,CHRNA1,Unknown,17687331,Vertebrata,Eumetazoa
52,ANKRD1,NPPA,Repression,18273862,Vertebrata,Vertebrata
53,APBB1,GMPS,Repression,21453247,Eumetazoa,Cellular_organisms
54,APC,AKT1,Repression,15888491,Eumetazoa,Eukaryota
55,APC,AMHR2,Repression,12724325,Eumetazoa,Vertebrata
56,APC,BIRC5,Unknown,11751382,Eumetazoa,Opisthokonta
57,APC,DLG1,Unknown,21858148,Eumetazoa,Opisthokonta
58,APC,DNMT1,Repression,12538344,Eumetazoa,Cellular_organisms
59,APC,F8,Unknown,12010799,Eumetazoa,Vertebrata
60,APC,KLF4,Unknown,12387883,Eumetazoa,Eumetazoa
61,APC,MYC,Repression,16510874,Eumetazoa,Eumetazoa
62,APC,NOS2,Activation,11935128,Eumetazoa,Euk+Bac
63,APC,ODC1,Repression,12112318,Eumetazoa,Cellular_organisms
64,APC,PTGS2,Repression,10772828;12566320,Eumetazoa,Eukaryota
65,APC,PTGS2,Unknown,11396184,Eumetazoa,Eukaryota
66,APC,SGK1,Repression,18487207,Eumetazoa,Eukaryota
67,APEX1,CCL2,Activation,17045925,Cellular_organisms,Mammalia
68,APEX1,CD19,Activation,10666449,Cellular_organisms,Mammalia
69,APEX1,CYP11B2,Repression,22652909,Cellular_organisms,Euk+Bac
70,APEX1,NFKB1,Activation,17045925,Cellular_organisms,Opisthokonta
71,APEX1,PTH,Repression,14633989,Cellular_organisms,Vertebrata
72,APEX1,RELA,Activation,17045925,Cellular_organisms,Eumetazoa
73,APEX1,SLC5A5,Activation,14630715,Cellular_organisms,Euk+Bac
74,AR,ACTA1,Activation,15623502,Vertebrata,Eukaryota
75,AR,AKR1C3,Repression,22971343,Vertebrata,Euk+Bac
76,AR,AKT1,Activation,11278645,Vertebrata,Eukaryota
77,AR,AKT1,Repression,20589722,Vertebrata,Eukaryota
78,AR,ALDH1A3,Unknown,17526768,Vertebrata,Euk+Bac
79,AR,ARG1,Activation,20711410,Vertebrata,Euk+Bac
80,AR,ARG2,Activation,20711410,Vertebrata,Euk+Bac
81,AR,ATAD2,Unknown,22771493,Vertebrata,Eukaryota
82,AR,BSG,Unknown,14633669,Vertebrata,Eumetazoa
83,AR,BTG1,Repression,16281084,Vertebrata,Vertebrata
84,AR,BTG2,Repression,16281084,Vertebrata,Eumetazoa
85,AR,CDK20,Activation,21747169,Vertebrata,Eukaryota
86,AR,CDC6,Activation,24583551,Vertebrata,Eukaryota
87,AR,CDC6,Unknown,18541154,Vertebrata,Eukaryota
88,AR,CDH1,Repression,18794357,Vertebrata,Eumetazoa
89,AR,CDH11,Unknown,20191612,Vertebrata,Eumetazoa
90,AR,CDH2,Activation,17297473;18535113,Vertebrata,Eumetazoa
91,AR,CDK20,Activation,21747169,Vertebrata,Eukaryota
92,AR,CDK6,Unknown,15790678,Vertebrata,Eumetazoa
93,AR,CDKN1A,Activation,10076995,Vertebrata,Eumetazoa
94,AR,CDKN1A,Repression,16281084,Vertebrata,Eumetazoa
95,AR,CLK3,Repression,16281084,Vertebrata,Eukaryota
96,AR,CRH,Repression,16446741,Vertebrata,Vertebrata
97,AR,CRISP1,Unknown,11223178,Vertebrata,Mammalia
98,AR,CRISP3,Unknown,11223178,Vertebrata,Eumetazoa
99,AR,CTNNB1,Activation,18535113,Vertebrata,Eukaryota
100,AR,CYP7B1,Repression,16630558,Vertebrata,Cellular_organisms
101,AR,EGFR,Activation,11556855;21613411,Vertebrata,Opisthokonta
102,AR,ELK4,Unknown,18469865,Vertebrata,Eumetazoa
103,AR,EP300,Activation,22334658,Vertebrata,Eukaryota
104,AR,ERBB2,Activation,21613411,Vertebrata,Opisthokonta
105,AR,ERBB2,Unknown,21741601,Vertebrata,Opisthokonta
106,AR,ERBB3,Activation,21741601,Vertebrata,Opisthokonta
107,AR,ETV1,Activation,19789348,Vertebrata,Eumetazoa
108,AR,FKBP4,Unknown,23192983,Vertebrata,Euk+Bac
109,AR,FN1,Unknown,21055159,Vertebrata,Eukaryota
110,AR,FOLH1,Unknown,12539223,Vertebrata,Euk+Bac
111,AR,FOXA1,Unknown,12750453,Vertebrata,Eumetazoa
112,AR,GNMT,Unknown,23997240,Vertebrata,Eumetazoa
113,AR,GREB1,Unknown,16496412,Vertebrata,Eumetazoa
114,AR,GTF2F1,Unknown,9238003,Vertebrata,Eukaryota
115,AR,HMMR,Unknown,18174258,Vertebrata,Euk_Archaea
116,AR,HMOX1,Activation,11965035,Vertebrata,Euk+Bac
117,AR,IFI16,Unknown,16494870,Vertebrata,Mammalia
118,AR,IGF1R,Activation,15033751;17202144,Vertebrata,Opisthokonta
119,AR,IGFBP3,Unknown,23859805,Vertebrata,Vertebrata
120,AR,JUN,Activation,20148354,Vertebrata,Eumetazoa
121,AR,KISS1,Activation,18331266,Vertebrata,Mammalia
122,AR,KISS1R,Activation,18331266,Vertebrata,Eumetazoa
123,AR,KLF5,Unknown,19460858,Vertebrata,Eumetazoa
124,AR,KLK1,Unknown,11532861,Vertebrata,Mammalia
125,AR,KLK2,Unknown,11532861;16751804;20688158;9241247,Vertebrata,Mammalia
126,AR,KLK3,Activation,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436,Vertebrata,Mammalia
127,AR,KLK3,Repression,16342680;9316650,Vertebrata,Mammalia
