,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A075B6G5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,6.0,,False
A0A075B6R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,2,1,-0.0,10.6666666667,16.0,False
A0A0A0MR89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,1.0,,False
A0A0A0MS98,0.0,0.0,0.0,0.0,0.0,0.45454545454499995,0.0,0.545454545455,Mammalia,11,1,0.689009238477,5.68181818182,1.8,False
A0A0A0MSJ3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,2,0,-0.0,1.0,,False
A0A0A0MSL8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,2,8,-0.0,4.17777777778,0.511904761905,False
A0A0A0MTC1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,1,1,-0.0,4.0,,False
A0A0A6YYJ5,0.0,0.0,0.14285714285700002,0.0,0.14285714285700002,0.428571428571,0.0,0.28571428571400004,Eumetazoa,7,1,1.2770342594700002,6.75,-0.145833333333,False
A0A0B4J1T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,10,0,-0.0,0.2,0.0,False
A0A0B4J1V8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,Eukaryota,10,3,0.500402423538,6.76923076923,4.83333333333,False
A0A0B4J207,0.714285714286,0.0,0.28571428571400004,0.0,0.0,0.0,0.0,0.0,Cellular_organisms,7,2,0.598269588585,0.222222222222,0.45454545454499995,False
A0A0C4DGB4,0.0,0.0,0.0,0.0,0.666666666667,0.33333333333299997,0.0,0.0,Opisthokonta,3,7,0.636514168295,6.62222222222,-0.261904761905,False
A0A0C4DH55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Opisthokonta,3,4,-0.0,6.28571428571,1.74545454545,False
A0A0C4DH77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,2,0,-0.0,0.0,,False
A0A183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,7,0,-0.0,0.0,0.0,False
A0A5B9,0.0,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.166666666667,Vertebrata,6,1,0.45056120886600004,1.2380952381,0.5,False
A0AUP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mammalia,9,0,-0.0,0.0,0.0,False
A0AUZ9,0.0,0.0,0.0,0.0,0.0,0.615384615385,0.307692307692,0.0769230769231,Eumetazoa,13,0,0.8587409130060001,2.89743589744,0.428571428571,False
A0AV02,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,Eumetazoa,8,5,0.6931471805600001,2.76923076923,1.42857142857,False
A0AV96,0.0,0.0,0.166666666667,0.833333333333,0.0,0.0,0.0,0.0,Eukaryota,6,7,0.45056120886600004,4.76923076923,7.0,False
A0AVF1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eukaryota,12,1,-0.0,0.307692307692,-0.047619047619,False
A0AVI2,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.5,Mammalia,10,3,1.02965301406,5.79487179487,7.20238095238,False
A0AVI4,0.0,0.0,0.0,0.0,0.153846153846,0.846153846154,0.0,0.0,Eumetazoa,13,0,0.42932302193099997,0.282051282051,0.00793650793651,False
A0AVK6,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,Eukaryota,10,3,0.610864302055,4.51282051282,2.86111111111,False
A0AVT1,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,Eukaryota,5,8,0.500402423538,2.48717948718,0.337301587302,False
A0FGR8,0.0,0.0,0.0,0.428571428571,0.0,0.428571428571,0.14285714285700002,0.0,Eumetazoa,7,6,1.0042424730500001,3.61538461538,3.98015873016,False
A0FGR9,0.0,0.0,0.0,0.555555555556,0.111111111111,0.0,0.33333333333299997,0.0,Eukaryota,9,4,0.9368883075390001,4.0,2.37301587302,False
A0JLT2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eumetazoa,11,2,-0.0,1.41025641026,-0.166666666667,False
A0JNW5,0.0,0.0,0.0,0.25,0.0,0.416666666667,0.33333333333299997,0.0,Eumetazoa,12,1,1.07755632707,3.69230769231,2.9365079365099995,False
